Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
32461,00000418,false,Rx,0,8,D8,02,6A,FE,71,FF,2B,00,
32469,00000418,false,Rx,0,8,E2,02,60,FE,56,FF,2D,00,
32474,00000418,false,Rx,0,8,F4,02,55,FE,95,FF,21,00,
32495,00000418,false,Rx,0,8,EE,02,4F,FE,A3,FF,17,00,
32501,00000418,false,Rx,0,8,D8,02,6D,FE,7A,FF,1C,00,
32501,00000418,false,Rx,0,8,E8,02,6C,FE,75,FF,2B,00,
32501,00000418,false,Rx,0,8,FA,02,49,FE,88,FF,31,00,
32506,00000418,false,Rx,0,8,F2,02,4D,FE,9D,FF,26,00,
32511,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
-32765,00000418,false,Rx,0,8,D8,02,6C,FE,88,FF,17,00,
-32761,00000418,false,Rx,0,8,D9,02,68,FE,6B,FF,16,00,
-32756,00000418,false,Rx,0,8,F6,02,54,FE,79,FF,23,00,
-32750,00000418,false,Rx,0,8,F3,02,54,FE,97,FF,2A,00,
-32741,00000418,false,Rx,0,8,DA,02,63,FE,99,FF,23,00,
-32728,00000418,false,Rx,0,8,DC,02,67,FE,6A,FF,19,00,
-32717,00000418,false,Rx,0,8,F6,02,59,FE,6A,FF,1B,00,
-32710,00000418,false,Rx,0,8,F7,02,4E,FE,9D,FF,28,00,
-32710,00000418,false,Rx,0,8,DB,02,62,FE,9C,FF,2E,00,
-32687,00000418,false,Rx,0,8,D8,02,6D,FE,6F,FF,24,00,
-32683,00000418,false,Rx,0,8,F2,02,56,FE,6F,FF,17,00,
-32683,00000418,false,Rx,0,8,F1,02,50,FE,96,FF,18,00,
-32682,00000418,false,Rx,0,8,DA,02,67,FE,99,FF,23,00,
-32676,00000418,false,Rx,0,8,DC,02,66,FE,64,FF,2A,00,
-32664,00000418,false,Rx,0,8,FA,02,4C,FE,7D,FF,25,00,
-32658,00000418,false,Rx,0,8,F0,02,53,FE,96,FF,1F,00,
-32653,00000418,false,Rx,0,8,D1,02,6F,FE,7B,FF,22,00,
-32647,00000418,false,Rx,0,8,DA,02,64,FE,62,FF,29,00,
-32643,00000418,false,Rx,0,8,F6,02,4D,FE,90,FF,2A,00,
-32892,00000418,false,Rx,0,8,E6,02,62,FE,A6,FF,22,00,
-32883,00000418,false,Rx,0,8,D7,02,69,FE,66,FF,1B,00,
-32879,00000418,false,Rx,0,8,F6,02,54,FE,69,FF,1A,00,
-32864,00000418,false,Rx,0,8,F1,02,53,FE,95,FF,1C,00,
-32842,00000418,false,Rx,0,8,D2,02,6D,FE,90,FF,1D,00,
-32842,00000418,false,Rx,0,8,DE,02,65,FE,65,FF,1E,00,
-32838,00000418,false,Rx,0,8,FB,02,4C,FE,9F,FF,1E,00,
-32837,00000418,false,Rx,0,8,E2,02,5F,FE,A0,FF,1F,00,
-32837,00000418,false,Rx,0,8,D7,02,68,FE,6E,FF,1C,00,
-32829,00000418,false,Rx,0,8,F6,02,51,FE,6E,FF,1A,00,
-32824,00000418,false,Rx,0,8,EA,02,51,FE,A8,FF,1B,00,
-32818,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
-32807,00000418,false,Rx,0,8,CF,02,6F,FE,74,FF,20,00,
-32800,00000418,false,Rx,0,8,E0,02,5E,FE,5B,FF,24,00,
-32793,00000418,false,Rx,0,8,F1,02,4F,FE,91,FF,23,00,
-32788,00000418,false,Rx,0,8,D5,02,68,FE,8F,FF,20,00,
-32780,00000418,false,Rx,0,8,E1,02,63,FE,5D,FF,1E,00,
-32775,00000418,false,Rx,0,8,F8,02,48,FE,97,FF,1E,00,
-32774,00000418,false,Rx,0,8,DC,02,64,FE,A6,FF,1F,00,
-32512,00000418,false,Rx,0,8,DB,02,6B,FE,69,FF,1E,00,
-32505,00000418,false,Rx,0,8,F2,02,49,FE,8B,FF,1D,00,
-32499,00000418,false,Rx,0,8,E0,02,62,FE,A2,FF,1E,00,
-32489,00000418,false,Rx,0,8,DE,02,69,FE,6E,FF,1F,00,
-32484,00000418,false,Rx,0,8,F8,02,44,FE,8E,FF,20,00,
-32477,00000418,false,Rx,0,8,E5,02,5D,FE,A5,FF,21,00,
-32470,00000418,false,Rx,0,8,D3,02,6F,FE,6D,FF,22,00,
-32463,00000418,false,Rx,0,8,F3,02,4D,FE,7D,FF,24,00,
-32458,00000418,false,Rx,0,8,EA,02,57,FE,A4,FF,23,00,
-32447,00000418,false,Rx,0,8,D5,02,75,FE,71,FF,20,00,
-32440,00000418,false,Rx,0,8,EB,02,53,FE,5F,FF,1E,00,
-32434,00000418,false,Rx,0,8,F2,02,51,FE,9B,FF,20,00,
-32428,00000418,false,Rx,0,8,CF,02,76,FE,99,FF,23,00,
-32421,00000418,false,Rx,0,8,DC,02,62,FE,61,FF,24,00,
-32410,00000418,false,Rx,0,8,F6,02,4E,FE,90,FF,21,00,
-32405,00000418,false,Rx,0,8,E2,02,6A,FE,A8,FF,1F,00,
-32399,00000418,false,Rx,0,8,DA,02,63,FE,57,FF,22,00,
-32638,00000418,false,Rx,0,8,01,03,4C,FE,7C,FF,28,00,
-32633,00000418,false,Rx,0,8,E6,02,5D,FE,A4,FF,2B,00,
-32633,00000418,false,Rx,0,8,CE,02,66,FE,72,FF,26,00,
-32628,00000418,false,Rx,0,8,ED,02,57,FE,5E,FF,20,00,
-32621,00000418,false,Rx,0,8,EC,02,5C,FE,95,FF,1E,00,
-32610,00000418,false,Rx,0,8,D2,02,61,FE,95,FF,22,00,
-32604,00000418,false,Rx,0,8,EB,02,61,FE,64,FF,27,00,
-32599,00000418,false,Rx,0,8,F2,02,53,FE,92,FF,26,00,
-32588,00000418,false,Rx,0,8,E0,02,53,FE,AC,FF,21,00,
-32580,00000418,false,Rx,0,8,E1,02,67,FE,75,FF,1C,00,
-32575,00000418,false,Rx,0,8,ED,02,59,FE,6B,FF,1C,00,
-32563,00000418,false,Rx,0,8,E8,02,4D,FE,A2,FF,1F,00,
-32559,00000418,false,Rx,0,8,D8,02,6D,FE,74,FF,21,00,
-32555,00000418,false,Rx,0,8,E6,02,5A,FE,6A,FF,21,00,
-32548,00000418,false,Rx,0,8,F1,02,4A,FE,A1,FF,1F,00,
-32540,00000418,false,Rx,0,8,D3,02,71,FE,87,FF,1E,00,
-32535,00000418,false,Rx,0,8,E2,02,61,FE,65,FF,21,00,
-32529,00000611,false,Rx,0,1,01,00,00,00,00,00,00,00,
-32525,00000418,false,Rx,0,8,F3,02,52,FE,97,FF,26,00,
-32517,00000418,false,Rx,0,8,D0,02,66,FE,97,FF,28,00,
-32513,00000418,false,Rx,0,8,E8,02,61,FE,6A,FF,27,00,
-32253,00000418,false,Rx,0,8,F5,02,4F,FE,A3,FF,24,00,
-32245,00000418,false,Rx,0,8,CF,02,67,FE,9A,FF,23,00,
-32236,00000418,false,Rx,0,8,EB,02,5E,FE,6D,FF,24,00,
-32231,00000418,false,Rx,0,8,E8,02,58,FE,97,FF,26,00,
-32219,00000418,false,Rx,0,8,D1,02,66,FE,84,FF,27,00,
-32215,00000418,false,Rx,0,8,F0,02,5C,FE,68,FF,27,00,
-32205,00000418,false,Rx,0,8,E9,02,55,FE,AA,FF,25,00,
-32201,00000418,false,Rx,0,8,D4,02,64,FE,89,FF,24,00,
-32196,00000418,false,Rx,0,8,E6,02,6B,FE,74,FF,21,00,
-32189,00000418,false,Rx,0,8,ED,02,53,FE,8D,FF,1E,00,
-32176,00000418,false,Rx,0,8,E8,02,54,FE,A8,FF,1C,00,
-32171,00000418,false,Rx,0,8,DD,02,6D,FE,86,FF,1B,00,
-32167,00000418,false,Rx,0,8,E4,02,57,FE,64,FF,1C,00,
-32159,00000418,false,Rx,0,8,F5,02,4D,FE,9D,FF,1E,00,
-32154,00000418,false,Rx,0,8,D0,02,68,FE,A3,FF,1F,00,
-32146,00000418,false,Rx,0,8,DA,02,65,FE,6E,FF,20,00,
-32139,00000418,false,Rx,0,8,FB,02,4E,FE,95,FF,20,00,
-32135,00000418,false,Rx,0,8,DC,02,59,FE,AC,FF,21,00,
-32380,00000418,false,Rx,0,8,D8,02,62,FE,6D,FF,22,00,
-32376,00000418,false,Rx,0,8,ED,02,58,FE,67,FF,23,00,
-32368,00000418,false,Rx,0,8,E8,02,4E,FE,A0,FF,23,00,
-32359,00000418,false,Rx,0,8,D6,02,5D,FE,AA,FF,20,00,
-32354,00000418,false,Rx,0,8,DA,02,67,FE,6E,FF,1D,00,
-32347,00000418,false,Rx,0,8,EC,02,4B,FE,87,FF,1D,00,
-32343,00000418,false,Rx,0,8,E8,02,54,FE,A8,FF,21,00,
-32329,00000418,false,Rx,0,8,D1,02,68,FE,70,FF,24,00,
-32321,00000418,false,Rx,0,8,EA,02,4F,FE,67,FF,22,00,
-32314,00000418,false,Rx,0,8,E7,02,4F,FE,A7,FF,1B,00,
-32314,00000610,false,Rx,0,2,02,0F,00,00,00,00,00,00,
-32304,00000418,false,Rx,0,8,CE,02,67,FE,70,FF,17,00,
-32296,00000418,false,Rx,0,8,E6,02,54,FE,4B,FF,1B,00,
-32292,00000418,false,Rx,0,8,E9,02,52,FE,9E,FF,22,00,
-32285,00000418,false,Rx,0,8,CB,02,69,FE,74,FF,24,00,
-32279,00000418,false,Rx,0,8,EA,02,49,FE,61,FF,1E,00,
-32272,00000418,false,Rx,0,8,E9,02,52,FE,A7,FF,16,00,
-32267,00000418,false,Rx,0,8,CA,02,5F,FE,72,FF,14,00,
-32000,00000418,false,Rx,0,8,F4,02,4C,FE,81,FF,18,00,
-31993,00000418,false,Rx,0,8,DF,02,5C,FE,A6,FF,1F,00,
-31989,00000418,false,Rx,0,8,CE,02,5F,FE,63,FF,23,00,
-31984,00000418,false,Rx,0,8,F4,02,3B,FE,8A,FF,23,00,
-31972,00000418,false,Rx,0,8,DD,02,64,FE,C2,FF,22,00,
-31972,00000418,false,Rx,0,8,D5,02,5F,FE,67,FF,22,00,
-31966,00000418,false,Rx,0,8,EF,02,46,FE,91,FF,22,00,
-31961,00000418,false,Rx,0,8,CA,02,68,FE,A0,FF,22,00,
-31951,00000418,false,Rx,0,8,E0,02,50,FE,61,FF,23,00,
